region_id,sheet_number,bid_item,text,llm_region_type,llm_association_strength,final_validation,llm_confidence,llm_reason
region_000490,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EW,DETAIL,NONE,WRONG,HIGH,"The highlighted region shows a detail callout (A-203) rather than a specific electrical component or finish/work item. There is no direct visual evidence of a bid-item electrical component (no equipment tag, symbol, or explicit reference to electrical installation). A detail callout implies content on a different sheet, not the bid item. Therefore, there is NO direct association with the original bid item."
region_000491,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EW,EQUIPMENT_TAG,INDIRECT,WRONG,MEDIUM,"The region contains generic equipment tags (EW/EX) that indicate electrical annotation but do not directly identify or reference a specific electrical component or installation. There is no explicit indication of a particular bid item (furnish and install unidentified electrical components) within this region. OCR hints exist but are not a substitute for direct visual evidence. Therefore, there is no direct association to the bid item; any relation is only indirect at best."
region_000492,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EY,EQUIPMENT_TAG,DIRECT,RIGHT,HIGH,"The region itself shows an explicit equipment tag (FY) tied to electrical components within this exact drawing region. This is a direct drawing cue identifying the electrical work to be furnished/installed in this location, not a generic or indirect connection. OCR notes are secondary and do not drive the decision."
region_000493,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EY,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The region visually shows equipment tag callouts (two-letter abbreviations) on the roof plan. There is no direct evidence (no component name, schedule, or explicit reference) tying these tags to the bid item 'Furnish & Install Unidentified Electrical Components'. Without a direct association, the region cannot be considered a correct direct match to the bid item."
region_000494,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E1,GRID_REFERENCE,NONE,WRONG,HIGH,The highlighted region is a grid reference marker (E1) and does not directly identify or reference the original bid item (Furnish & Install Unidentified Electrical Components). There is no direct drawing evidence linking this grid bubble to the bid item; any relevance would be indirect at best and is not acceptable per the DIRECT ASSOCIATION requirement.
region_000495,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E1,ROOM_LABEL,NONE,WRONG,HIGH,"The region contains only the room label E1; per the Special RULE — ROOM LABEL, a room name alone does not establish the bid item and does not directly identify electrical work. No explicit electrical component, finish, or equipment tag is visible in this region."
region_000496,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a grid reference (E4) which serves to locate the plan grid. It does not identify, label, or reference any electrical components or equipment. According to the SPECIAL RULES, a grid reference is NOT a bid item, so there is no direct association to the bid item 'Furnish & Install Unidentified Electrical Components'."
region_000497,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a blue circled grid reference 'E4'. This is a plan-grid indicator and not a bid item. There are no electrical equipment tags, component identifiers, or explicit references to electrical work within this region. According to the Special Rule for Grid References, a grid bubble/reference is not a bid item; therefore there is no direct association to the bid item 'Furnish & Install Unidentified Electrical Components'."
region_000498,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EX,EQUIPMENT_TAG,DIRECT,RIGHT,HIGH,"The highlighted region visibly shows equipment tags (FX/EX/EY/EV) on the plan, which are explicit identifiers for electrical components. This provides direct evidence for the bid item (Furnish & Install Unidentified Electrical Components) in this exact region, not merely a same-trade or nearby-related indication."
region_000499,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EX,OTHER,NONE,WRONG,MEDIUM,"The highlighted region does not visibly contain explicit electrical components, equipment tags, or any direct reference to electrical work that would identify it as part of the bid item 'Furnish & Install Unidentified Electrical Components'. There are no electrical symbols, circuit tags, or equipment-callouts visible in the region; the legible text appears to be a generic annotation not tied to electrical work. Therefore, there is no direct evidence linking this region to the bid item."
region_000500,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EV,EQUIPMENT_TAG,DIRECT,RIGHT,HIGH,"The highlighted region visually shows an EQUIPMENT_TAG with the label EV. This is a direct drawing element identifying electrical equipment to be furnished/installed in that specific location, which directly supports the Bid Item 'Furnish & Install Unidentified Electrical Components' (electrical components) without requiring inference from related trades or notes."
region_000501,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EV,EQUIPMENT_TAG,INDIRECT,WRONG,HIGH,"The highlighted region visibly shows a two-letter equipment callout ('EV'), which is an equipment tag used for labeling purposes. This does not directly identify or reference a specific electrical component or a schedule entry that corresponds to the bid item. Without a direct component description or a schedule link visible in the region, the association is only indirect and not a direct representation of the bid item."
region_000502,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EZ,EQUIPMENT_TAG,DIRECT,RIGHT,HIGH,"The region visibly shows an equipment tag (EY) on the wall, which is a standard drawing evidence of an electrical component to be installed. This provides direct evidence of the bid item’s electrical components work, not merely an indirect association or a generic note. No assumption required."
region_000503,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EZ,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The highlighted region is a generic equipment tag on the Bldg Types Roof Plan (EQUIPMENT_TAG). It does not directly identify an electrical component to furnish/install, nor does it reference a schedule/detail explicitly tied to the bid item. This provides no direct evidence for the original bid item; OCR/content does not alter this assessment."
region_000504,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a blue circular tag reading 'E2', which is a grid reference bubble used to locate elements on the roof plan. It does not identify, locate, or explicitly reference the bid item (Furnish & Install Unidentified Electrical Components for Estimator Review) and provides no direct evidence of the electrical components bid item. Per the rules, a grid reference is not a bid item, so there is NO direct association to the bid item."
region_000505,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E2,GRID_REFERENCE,NONE,WRONG,HIGH,"1) The highlighted region visibly shows the grid reference label E2 (a plan/grid coordinate marker), not a finish tag, equipment tag, room label with finished work, schedule, or any electrical component. 2) This region represents a plan reference, not a bid-item element. 3) Independently, without knowing the bid item, I would identify it as a grid reference on a floor/roof plan. 4) There is no direct drawing evidence linking this region to the bid item 'Furnish & Install Unidentified Electrical Components for Estimator Review' (no electrical symbol, component tag, or explicit reference to electrical work). 5) Any association would be indirect at best (same discipline/trade) and does not satisfy a direct association requirement. 6) OCR evidence is not used to justify the association; the image itself shows a grid label. 7) No assumptions were used."
region_000506,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid reference label 'E3' (a circular grid tag) and does not display any electrical component reference, equipment tag, finish indicator, or schedule/detail entry that explicitly identifies or locates the Bid Item. Grid references are not bid items per the rules for direct association, so there is no direct evidence linking this region to the bid item."
region_000507,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E3,DETAIL,NONE,WRONG,HIGH,"The highlighted region contains a detail callout (B5 A-201) rather than any explicit electrical component tag, equipment label, or work description that would directly tie to the bid item (Furnish & Install Unidentified Electrical Components). According to the guidance, a direct association requires the region itself to identify or label the relevant work; a cross-reference detail callout does not meet this requirement. No direct evidence connects this region to the bid item."
region_000508,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E5,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a blue-circled 'E5' grid reference bubble with dashed lines. There is no depiction of electrical components, equipment tags, finishes, or a schedule entry that explicitly identifies or references the Bid Item 'Furnish & Install Unidentified Electrical Components for Estimator Review'. According to the guidelines, a grid reference is not a bid item and cannot provide direct evidence of the bid work. Therefore, the region has NO direct association with the bid item."
region_000509,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,E5,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a grid reference label (E5) and does not depict any direct indication of electrical components or related work. According to the Special Rule GRID REFERENCES, a grid reference is not a bid item and does not provide direct evidence for the bid item. Therefore there is no direct association to the bid item 'Furnish & Install Unidentified Electrical Components'."
region_000510,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EW,EQUIPMENT_TAG,NONE,WRONG,HIGH,"What is visibly present: a blue circled tag 'EW' adjacent to a small interior area on the roof plan. What it represents: an equipment tag label, not a specific electrical component or installation instruction. Direct evidence connecting this region to the Bid Item 'Furnish & Install Unidentified Electrical Components' is not observed—the tag alone does not identify a particular electrical work, equipment, or installation scope. No schedule, detail, or component description explicitly tied to electrical installation is visible in this region. Therefore, the region does not provide direct evidence for the bid item and is considered a WRONG association (NONE)."
region_000511,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EW,SPECIFICATION_TEXT,NONE,WRONG,MEDIUM,"The region contains a specification/text element ('50A') within a rectangular annotation, which does not directly identify or label a specific electrical component or work item. The bid item requires a direct depiction/label of the electrical components to be furnished and installed; a stray rating text or annotation does not provide direct evidence of that work."
region_000512,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EY,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The highlighted region contains only generic EY equipment tags without explicit identification of the electrical components or installation work described in the bid item. There is no direct evidence in the region that identifies, locates, or references the bid item; relying on indirect associations (same trade, general electrical context) is not permitted for a direct association."
region_000513,A-005,Furnish & Install Unidentified Electrical Components for Estimator Review,EY,EQUIPMENT_TAG,INDIRECT,WRONG,MEDIUM,"The highlighted region displays a blue circular equipment tag labeled EY, which denotes an EQUIPMENT_TAG used to reference electrical components on the plan. There is no explicit text, note, or schedule entry within the region that directly identifies or maps to the Bid Item 'Furnish & Install Unidentified Electrical Components' (Others). Therefore the region does not provide direct evidence of the bid item; at best it offers an indirect electrical-tag association. A direct association would require an explicit schedule entry or label within the region that ties EY to the bid item."
region_000514,A-005,Furnish & Install Wall Base,B1,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region contains basic plan geometry (walls/door) with no explicit reference to Furnish & Install Wall Base. There is no finish indication, baseboard symbol, or schedule entry directly tying this region to the bid item. Any relevance would be indirect at best, which does not meet the DIRECT association requirement."
region_000515,A-005,Furnish & Install Wall Base,B1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region is a grid reference bubble labeled B1, which serves to locate features on the plan. It does not identify or reference the bid item 'Furnish & Install Wall Base' in any direct manner (no finish/material, room label, schedule, or detail linked to the bid item is shown)."
region_000516,A-005,Furnish & Install Wall Base,B4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a grid reference label 'B4' along a grid line. It does not depict any finish/work, material, or item related to the Bid Item (Furnish & Install Wall Base). According to the GRID_REFERENCE rule, a grid bubble/line does not constitute direct evidence of the bid item, so there is no direct association with the bid item."
region_000517,A-005,Furnish & Install Wall Base,B4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a blue circular label reading 'B4' (grid reference) with a dashed leader. This is a location reference, not a finish item or work description. A grid reference does not directly identify or reference the bid item 'Furnish & Install Wall Base' (no material, finish, or schedule detail is shown). Therefore there is no direct association to the bid item. The evidence is based on the image content (grid bubble) rather than OCR alone. No assumption is required."
region_000518,A-005,Furnish & Install Wall Base,BX,FINISH_TAG,NONE,WRONG,HIGH,"The highlighted region visually contains generic finish tags ('FX') and does not directly identify or reference the bid item 'Furnish & Install Wall Base'. There is no explicit 'Wall Base' label, schedule, or other finish indication that directly ties this region to the bid item. Without direct evidence, the association is not valid per the required criteria."
region_000519,A-005,Furnish & Install Wall Base,BX,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region shows plan geometry with circular two-letter callouts (BX, CX, FX) along a line. There is no explicit finish reference, baseboard symbol, or text stating 'Wall Base' or related finish, which would be required for a direct association to the bid item. Grid/callout references are not evidence of the bid item."
region_000520,A-005,Furnish & Install Wall Base,BV,FINISH_TAG,NONE,WRONG,MEDIUM,"The highlighted region shows a finish tag (FV) on a roof plan, which does not directly identify or reference the bid item 'Furnish & Install Wall Base'. There is no explicit label for wall base, baseboard, or related work. The finish tag alone does not constitute a direct association to the bid item; its meaning is generic finish labeling rather than a specific wall-base installation item."
region_000521,A-005,Furnish & Install Wall Base,BV,EQUIPMENT_TAG,NONE,WRONG,HIGH,"The highlighted region contains a two-letter equipment tag (BV) on a roof plan. It does not directly identify the bid item (Furnish & Install Wall Base). There is no wall base finish reference, schedule, or detail in or linked to this region. The tag is not a direct reference to the bid item; this is no direct association."
region_000522,A-005,Furnish & Install Wall Base,BZ,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region contains a small, unlabeled rectangular feature on the roof plan with no finish/work indication or bid-item reference to 'Furnish & Install Wall Base.' Without explicit labeling or a direct finish reference, it does not visibly identify, locate, or reference the bid item. Therefore, there is no direct association to the original bid item; the evidence is purely plan geometry rather than a finish item."
region_000523,A-005,Furnish & Install Wall Base,BZ,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows only a grid reference label 'BZ' (a blue circular tag) and does not identify, locate, or reference the bid item 'Furnish & Install Wall Base'. There is no finish/work legend, material, or bid-item detail visible in this region to support a direct association."
region_000524,A-005,Furnish & Install Wall Base,B2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid reference (B2) which does not identify, locate, or reference the bid item. Grid references are not bid items and provide no direct evidence for Furnish & Install Wall Base. Therefore there is no direct association between this region and the original bid item."
region_000525,A-005,Furnish & Install Wall Base,B2,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a circular blue grid bubble labeled 'B2'. This is a grid reference, not a bid item or finish/work indication. Special rule for GRID_REFERENCE states it is NOT a bid item. Therefore there is no direct evidence connecting this region to the Bid Item 'Furnish & Install Wall Base', so the association is NONE (WRONG)."
region_000526,A-005,Furnish & Install Wall Base,B3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a circular blue grid reference bubble with the label 'B3'. This is a grid reference indication, not a finish, material, or work item. There is no direct evidence that this region identifies, locates, or references the bid item 'Furnish & Install Wall Base'. Therefore, no direct association to the bid item is established."
region_000527,A-005,Furnish & Install Wall Base,B3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a circular grid bubble labeled B3, which is a grid reference marker. According to the rules, a grid reference is not a bid item and does not provide direct evidence of the bid item. Therefore it does not directly identify or reference the 'Furnish & Install Wall Base' region."
region_000528,A-005,Furnish & Install Wall Base,B1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows a grid reference bubble with 'B1'. Grid references are not bid items and do not directly identify the work (Furnish & Install Wall Base). There is no finish tag, material reference, or schedule entry directly tied to the bid item in this region; therefore the association is not direct."
region_000529,A-005,Furnish & Install Wall Base,B1,GRID_REFERENCE,NONE,WRONG,HIGH,"A grid reference alone does not identify or locate the Furnish & Install Wall Base. The region must directly depict or label the bid item (e.g., wall base symbol/finish callout or a corresponding schedule/detail). Here, only a grid reference is visible, which provides location context but no direct evidence of the bid item."
region_000530,A-005,Furnish & Install Wall Base,B4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid reference bubble 'B4' and no indication of finish/work relevant to 'Furnish & Install Wall Base'. Per the GRID_REFERENCE rule, grid bubbles are not bid items and do not provide direct evidence for the specified bid item. Therefore, there is no direct association to the bid item."
region_000531,A-005,Furnish & Install Wall Base,B4,GRID_REFERENCE,NONE,WRONG,HIGH,"B4 is a grid reference bubble, not a bid-item or finish reference. It does not directly identify, locate, or reference the bid item 'Furnish & Install Wall Base'. Grid references are not bid items per the guidance, so no direct association exists."
region_000532,A-005,Furnish & Install Wall Base,BX,OTHER,NONE,WRONG,LOW,"The highlighted region contains a circular tag with the text 'BX' only. There is no explicit label, symbol, or schedule in this region that directly identifies the bid item 'Furnish & Install Wall Base' (e.g., no 'Wall Base', baseboard detail, or item/Schedule reference). The surrounding context shows general finish markers (FX) along walls, but these do not constitute direct evidence linking this region to the bid item. Therefore, there is no direct association to the bid item; the correct decision is WRONG with low confidence due to very limited evidence."
region_000533,A-005,Furnish & Install Wall Base,BX,EQUIPMENT_TAG,NONE,WRONG,MEDIUM,"The region contains generic two-letter tag markers (BX, CX, FX) that function as equipment/finish tags, not as a direct reference to the bid item 'Furnish & Install Wall Base'. The sheet is a roof plan (A-005) where wall-base work would not be directly represented or explicitly identified by these tags. No explicit finish/work for wall base is shown in this region."
region_000534,A-005,Furnish & Install Wall Base,BV,FINISH_TAG,NONE,WRONG,HIGH,"The highlighted region shows finish-tag symbols (FV) along walls but contains no direct evidence of wall-base installation (no 'wall base' labeling, symbol, or related detailing). This sheet is a roof plan page (A-005, Bldg Types Roof Plan); there is no explicit wall-base detail visible in this region. OCR evidence is not sufficient to establish a direct association. Therefore, the bid item 'Furnish & Install Wall Base' is not directly represented by this region."
region_000535,A-005,Furnish & Install Wall Base,BV,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region shows roof-plan geometry and generic grid/callout annotations, not any finish/work identifying or labeling the bid item (Furnish & Install Wall Base). Special rules require direct identification of the bid item; none is present here. OCR hints (BV, CZ, etc.) refer to generic tags, not wall-base work. Therefore there is no direct association to the bid item."
region_000536,A-005,Furnish & Install Wall Base,BZ,PLAN_GEOMETRY,NONE,WRONG,MEDIUM,The highlighted region does not directly identify or reference the bid item 'Furnish & Install Wall Base'. It shows generic plan geometry and cross-references without any explicit finish/installation indication for wall base. No direct evidence ties this region to the bid item; OCR cues are not sufficient to override the visual evidence.
region_000537,A-005,Furnish & Install Wall Base,BZ,FINISH_TAG,NONE,WRONG,HIGH,"The highlighted region explicitly contains finish-tag callouts (FZ) on a roof plan. There is no direct evidence (no label, finish description, schedule, or detail) tying this region to 'Furnish & Install Wall Base'. A roof plan typically does not directly depict interior wall-base work, and no explicit wall-base reference is visible in the region. Therefore, there is NO DIRECT association with the bid item; the correct classification is WRONG."
region_000538,A-005,Furnish & Install Wall Base,B2,GRID_REFERENCE,NONE,WRONG,HIGH,"The region is a grid reference bubble (B2), not a finish tag, room label with finish, detail/equipment tag, or any direct indication of the bid item. Per the guidance, grid references are not bid items and cannot constitute a direct association to 'Furnish & Install Wall Base'. Independent identification yields grid reference rather than a bid-item element; therefore no direct evidence links to the bid item."
region_000539,A-005,Furnish & Install Wall Base,B2,GRID_REFERENCE,NONE,WRONG,HIGH,"1) The highlighted region contains a grid reference label 'B2' (grid bubble). 2) Grid references are not bid items and do not directly identify or reference furnishing/installation work. 3) There is no finish/specification text, room label with finishes, schedule, or detail entry in this region that directly ties to 'Furnish & Install Wall Base'. 4) Therefore the region does not provide direct evidence for the original bid item; the association is NOT direct."
region_000540,A-005,Furnish & Install Wall Base,B3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region depicts a blue grid reference bubble labeled 'B3' along a dashed grid line. This is a grid reference indicator, not a bid item, finish, or work element. There is no direct evidence that this region identifies or references the original bid item (Furnish & Install Wall Base). Therefore, the association is NONE and the decision is WRONG."
region_000541,A-005,Furnish & Install Wall Base,B3,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly shows a grid reference bubble labeled 'B3' rather than any finish, material, or work item. There is no direct labeling or depiction of 'Furnish & Install Wall Base' in this region. According to the rules, a grid reference is not a bid-item item and cannot directly establish the bid item."
region_000542,A-005,Furnish & Install Precast Concrete Stair Treads,T 801.924.5000,GENERAL_NOTE,NONE,WRONG,HIGH,"The highlighted region comprises General Notes for the Roof Plans, not any direct reference to the bid item 'Furnish & Install Precast Concrete Stair Treads.' There is no explicit finish/work item, material, or schedule for stairs or precast stair treads visible in this region; OCR/text does not show a direct association to the bid item."
region_000543,A-101CD,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,A B BR C BR A,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region visibly contains a building-type key plan with labeled blocks (A, B, C, D) and the title 'BLDG TYPE KEY PLAN'. There is no explicit indication of wall finishes, finish schedule, or wall coverings. Thus there is no direct evidence that this region identifies, locates, or references the Bid Item 'Furnish & Install Wall Finishes Per Finish Schedule And Elevations'. It represents plan geometry/type classification, not the wall finish work. Therefore the association is NONE (not direct)."
region_000544,A-101CD,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,A C BR C BR A,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region visually depicts a Building Type Key Plan inset (PLAN_GEOMETRY) and does not identify, locate, or reference the original bid item 'Furnish & Install Wall Finishes Per Finish Schedule And Elevations' (Wall Covering). There is no finish-related tag, schedule entry, or material indication visible in the region. Therefore there is no direct evidence linking this region to the bid item; the proper decision is WRONG."
region_000545,A-101CD,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,A B BR C BR D,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region is a Building Type Key Plan inset. It displays unit/type labels (A, B, C, D) and bedroom abbreviations (BR) within a schematic key, not any finish or wall-covering information. There is no explicit indication of wall finishes, finish schedules, or elevations. Without relying on OCR, the image evidence shows only plan-geometry labeling, which does not directly identify the bid item. Therefore, there is no direct association to Furnish & Install Wall Finishes."
region_000546,A-101CD,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,A BR A,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The highlighted region visibly shows a Building Type Key Plan (BLDG TYPE KEY PLAN) used to distinguish building blocks/types. It does not contain any finish-related content (no wall finishes, finish schedule, or wall covering labeling). Therefore there is no direct evidence linking this region to the Bid Item 'Furnish & Install Wall Finishes Per Finish Schedule And Elevations'; any relation would be indirect at best and not sufficient for a direct association."
region_000547,A-101CD,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,E BR A,PLAN_GEOMETRY,NONE,WRONG,HIGH,"Direct evidence linking this region to the bid item “Furnish & Install Wall Finishes Per Finish Schedule And Elevations” is missing. The region contains plan geometry and room labels (e.g., BR) with color blocks, but no explicit wall finish type, finish schedule reference, or finish callout that directly identifies wall finishes for the bid item. OCR content alone does not establish a direct association, and relying on same-trade or related concepts would be indirect, which is not permitted for a RIGHT association."
region_000548,A-101CD,Furnish & Install Wall Framing Continuous To Deck And As Per General Notes,A. ALL NEW WALL ASSEMBLIES ARE CONTINUOUS TO BOTTOM OF DECK UNLESS NOTED OTHERWISE.,GENERAL_NOTE,DIRECT,RIGHT,HIGH,"The region visibly contains a general note that specifically states 'ALL NEW WALL ASSEMBLIES ARE CONTINUOUS TO BOTTOM OF DECK UNLESS NOTED OTHERWISE.' This directly identifies the work scope (wall assemblies/framing) and the required condition (continuous to the bottom of the deck), which maps directly to the original bid item. OCR notes aside, the image text provides a direct, explicit link to the bid item rather than an indirect association."
region_000549,A-101CD,Furnish & Install Tile Backer Board And Moisture Resistant Gypsum Board In Wet Areas,"C. WHERE THE FINISH SCHEDULE OR INTERIOR ELEVATIONS CALL FOR TILE, REPLACE GYPSUM BOARD SHOWN IN THE WALL'S ASSEMBLY WITH TILE BACKER BOARD WHERE TILE OCCURS. REPLACE OTHER GYPSUM BOARD SHOWN IN THAT WALL'S ASSEMBLY WITH MOISTURE RESISTANT GYPSUM BOARD WHERE NO TILE OCCURS.",GENERAL_NOTE,DIRECT,RIGHT,HIGH,The region visibly contains explicit references to tile backer board and moisture resistant gypsum board and provides direct instructions to use these materials in wall assemblies based on tile presence. This is a direct material/work association to the Bid Item (Furnish & Install Tile Backer Board And Moisture Resistant Gypsum Board In Wet Areas). No inference or OCR-based reasoning is needed.
region_000550,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,GENERAL_NOTE,DIRECT,RIGHT,HIGH,"The highlighted region shows the text 'F.O.S.' which, per the legend meaning provided on the sheet (FACE OF STUD), directly identifies the wall framing element (face of studs). This is a specific annotation tied to wall framing layout coordination, not just a related topic or general note. There is no need to infer from OCR beyond the visible label; the label itself directly references the bid-item scope."
region_000551,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,GENERAL_NOTE,NONE,WRONG,MEDIUM,"1) The highlighted region shows the text 'F.O.S.' (Face Of Stud) as a general framing annotation on the Level 01 floor plan. 2) This is a typical drafting note used in wall framing drawings, not a direct label or explicit reference to a specific bid item. It does not identify or label the work as 'Furnish & Install Wall Framing Layout And Coordination', nor does it show a detail, schedule, or explicit coordination reference tied to the bid item. 3) If evaluated independently of the bid item, the region would be interpreted as a construction note for wall framing conventions rather than as evidence of the required bid item. 4) There is no direct evidence (e.g., a wall-framing layout callout, a coordination detail, or a schedule item that explicitly corresponds to the bid item) tying this region to the Original Bid Item. 5) Relying on same-trade or proximity arguments would be indirect and not acceptable per the audit rules. Therefore, the association is not direct, and the region is incorrectly associated with the bid item."
region_000552,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,GENERAL_NOTE,DIRECT,RIGHT,HIGH,"The region visibly shows a 'F.O.S.' tag (Face Of Stud) on or near wall lines, which is a direct indication of wall framing layout. This is a specific framing annotation tied to the bid item 'Furnish & Install Wall Framing Layout And Coordination' (Metal Framing). It is not merely a related trade or a general note; it directly identifies a component of the wall framing work."
region_000553,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,SPECIFICATION_TEXT,DIRECT,RIGHT,HIGH,"The highlighted region visibly shows 'F.O.S.' (Face Of Stud), a direct tagging used in wall framing/layout coordination. This is a specific, explicit reference to the wall framing element rather than a generic room label, grid, or specification text. It demonstrates a direct association to the bid item (Furnish & Install Wall Framing Layout And Coordination) rather than an indirect or unrelated reference."
region_000554,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,PLAN_GEOMETRY,DIRECT,RIGHT,HIGH,"The highlighted region shows the annotation 'F.O.S.' which stands for Face Of Stud, a direct reference to the studs used in wall framing. This is a concrete, on-drawing indication of a framing element within the Level 01 Floor Plan (Blocks C & D). It is not merely a room label, grid, or general note; it explicitly identifies the framing component, supporting a direct association to the bid item 'Furnish & Install Wall Framing Layout And Coordination' (Metal Framing)."
region_000555,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,GENERAL_NOTE,DIRECT,RIGHT,HIGH,The highlighted region explicitly contains a 'F.O.S.' label (Face Of Stud) placed on the wall-framing area of the Level 01 Floor Plan among the wall lines. This is a direct indicator of wall framing layout/coordination (metal framing) rather than an indirect attribute (such as a related but non-specific note or a grid/room label). No OCR-only inference used; the evidence is visible in the drawing itself.
region_000556,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,MATERIAL_TAG,DIRECT,RIGHT,HIGH,"The region contains the explicit label 'F.O.S.' (Face Of Stud), a concrete indicator used in wall framing drawings to locate and coordinate studs. The region is visually tied to the wall framing layout (stud lines/dimensions) on the same sheet (A-101CD Level 01 Blocks C & D), providing direct evidence that this region represents the wall framing work described by the bid item. OCR text is secondary and the visual evidence clearly shows the framing element rather than a general note or unrelated label."
region_000557,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,PLAN_GEOMETRY,DIRECT,RIGHT,HIGH,"The highlighted region contains the explicit label 'F.O.S.' referring to Face Of Stud, a direct construct used in wall framing layouts. This is a specific, visible annotation tied to the wall framing layout (metal studs), not a generic or indirect reference. It directly identifies the work element related to the Bid Item (Furnish & Install Wall Framing Layout And Coordination)."
region_000558,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,PLAN_GEOMETRY,DIRECT,RIGHT,HIGH,"The highlighted region visibly contains the label 'F.O.S.' (Face Of Stud) on a wall line within the Level 01 Floor Plan Blocks C & D. This is a direct, standard framing notation that identifies the wall framing geometry, not a generic note or unrelated text. It directly supports the bid item (wall framing layout/coordination) rather than requiring inference from same-trade or adjacent content."
region_000559,A-101CD,Furnish & Install Wall Framing Layout And Coordination,F.O.S.,SPECIFICATION_TEXT,DIRECT,RIGHT,HIGH,"The highlighted region shows the text 'F.O.S.' which, per the legend, means 'FACE OF STUD'. This is a direct reference to a wall-framing element (stud placement) on the floor plan, i.e., a component of metal wall framing. It does not rely on general alignment or indirect context but directly labels a framing element relevant to the bid item."
